p_pid     p_name		p_vrt	      p_sum_exe_rt 		  n_pid     n_name  	 n_vrt  	 n_sum_exe_rt|	prev_tslice next_tslice  CPU
  1181 ,pulseaudio,       240869321,      6998941462,      0 , swapper/0,               0,              0, | ,      41308 ,         0 
  1188 ,alsa-sink-ALC26,               0,      7819727460,   8941 ,mpegaudioparse0,    106385279389,    11876370680, | ,      24326 ,     16260 
  8941 ,mpegaudioparse0,    106385948467,     11877039758,  11088 ,       cc1,      1789616174,       31792846, | ,     669078 ,    375329 
     0 , swapper/2,               0,               0,    582 ,     gmain,       152842929,      338255752, | ,          0 ,     30775 
   582 ,     gmain,       152912725,       338325548,      0 , swapper/2,               0,              0, | ,      69796 ,         0 
   199 ,systemd-journal,       852262270,      6062277642,   2623 ,  nautilus,     76059864323,    29542229818, | ,    1939690 ,   1394955 
     0 , swapper/0,               0,               0,  11089 ,      pool,    102791283841,         831359, | ,          0 ,    141843 
 11089 ,      pool,    102791364496,          912014,      0 , swapper/0,               0,              0, | ,      80655 ,         0 
     0 , swapper/0,               0,               0,  11090 ,      pool,    102800063344,         511667, | ,          0 ,      9822 
 11090 ,      pool,    102800131841,          580164,      0 , swapper/0,               0,              0, | ,      68497 ,         0 
     0 , swapper/0,               0,               0,  11089 ,      pool,    102791364496,         912014, | ,          0 ,     80655 
